TABLE_CAT	TABLE_SCHEM	TABLE_NAME	COLUMN_NAME	DATA_TYPE	TYPE_NAME	COLUMN_SIZE	BUFFER_LENGTH	DECIMAL_DIGITS	NUM_PREC_RADIX	NULLABLE	REMARKS	COLUMN_DEF	SQL_DATA_TYPE	SQL_DATETIME_SUB	CHAR_OCTET_LENGTH	ORDINAL_POSITION	SCOPE_CATALOG	SCOPE_SCHEMA	SCOPE_TABLE	SOURCE_DATA_TYPE	IS_NULLABLE
im_monet	lme	lme_licencia_estado	id_licencia	4	int	32	0	0	10	0	(null)	(null)	0	0	0	1	(null)	(null)	(null)	1111	NO
im_monet	lme	lme_licencia_estado	codigo_estado_oficial	4	int	32	0	0	10	0	(null)	(null)	0	0	0	2	(null)	(null)	(null)	1111	NO
im_monet	lme	lme_licencia_estado	observaciones	12	varchar	255	0	0	10	0	(null)	(null)	0	0	0	3	(null)	(null)	(null)	1111	NO
im_monet	lme	lme_licencia_estado	fecha	93	timestamp	7	0	0	10	1	(null)	(null)	0	0	0	4	(null)	(null)	(null)	1111	YES
im_monet	lme	lme_licencia_estado	fecha_proceso	93	timestamp	7	0	0	10	1	(null)	(null)	0	0	0	5	(null)	(null)	(null)	1111	YES
im_monet	lme	lme_licencia_estado	id_usuario_mod	4	int	32	0	0	10	1	(null)	(null)	0	0	0	6	(null)	(null)	(null)	1111	YES
im_monet	lme	lme_licencia_estado	fecha_actualizacion	93	timestamp	7	0	0	10	1	(null)	(null)	0	0	0	7	(null)	(null)	(null)	1111	YES
