TABLE_CAT	TABLE_SCHEM	TABLE_NAME	COLUMN_NAME	DATA_TYPE	TYPE_NAME	COLUMN_SIZE	BUFFER_LENGTH	DECIMAL_DIGITS	NUM_PREC_RADIX	NULLABLE	REMARKS	COLUMN_DEF	SQL_DATA_TYPE	SQL_DATETIME_SUB	CHAR_OCTET_LENGTH	ORDINAL_POSITION	SCOPE_CATALOG	SCOPE_SCHEMA	SCOPE_TABLE	SOURCE_DATA_TYPE	IS_NULLABLE
im_monet	lme	lme_licencias	pro_email	12	varchar	255	0	0	10	1	(null)	(null)	0	0	0	43	(null)	(null)	(null)	1111	YES
im_monet	lme	lme_licencias	cod_validacion_profesional	12	varchar	255	0	0	10	0	(null)	(null)	0	0	0	44	(null)	(null)	(null)	1111	NO
im_monet	lme	lme_licencias	id_empleador	4	int	32	0	0	10	1	(null)	(null)	0	0	0	45	(null)	(null)	(null)	1111	YES
im_monet	lme	lme_licencias	nombre_empleador	12	varchar	255	0	0	10	1	(null)	(null)	0	0	0	46	(null)	(null)	(null)	1111	YES
im_monet	lme	lme_licencias	rut_empleador	4	int	32	0	0	10	1	(null)	(null)	0	0	0	47	(null)	(null)	(null)	1111	YES
im_monet	lme	lme_licencias	dv_empleador	1	char	1	0	0	10	1	(null)	(null)	0	0	0	48	(null)	(null)	(null)	1111	YES
im_monet	lme	lme_licencias	empleador_adscrito	-6	tinyint	8	0	0	10	0	(null)	(null)	0	0	0	49	(null)	(null)	(null)	1111	NO
im_monet	lme	lme_licencias	emp_fecha_envio	93	timestamp	7	0	0	10	1	(null)	(null)	0	0	0	50	(null)	(null)	(null)	1111	YES
im_monet	lme	lme_licencias	nombre_entidad_prev	12	varchar	255	0	0	10	1	(null)	(null)	0	0	0	51	(null)	(null)	(null)	1111	YES
im_monet	lme	lme_licencias	id_asegurador	4	int	32	0	0	10	1	(null)	(null)	0	0	0	52	(null)	(null)	(null)	1111	YES
im_monet	lme	lme_licencias	nombre_asegurador	12	varchar	255	0	0	10	1	(null)	(null)	0	0	0	53	(null)	(null)	(null)	1111	YES
im_monet	lme	lme_licencias	codigo_calidad_trabajador	4	int	32	0	0	10	1	(null)	(null)	0	0	0	54	(null)	(null)	(null)	1111	YES
im_monet	lme	lme_licencias	remuneracion_imponible	4	int	32	0	0	10	1	(null)	(null)	0	0	0	55	(null)	(null)	(null)	1111	YES
im_monet	lme	lme_licencias	licencias_anteriores	-6	tinyint	8	0	0	10	1	(null)	(null)	0	0	0	56	(null)	(null)	(null)	1111	YES
im_monet	lme	lme_licencias	codigo_estado_oficial	4	int	32	0	0	10	1	(null)	(null)	0	0	0	57	(null)	(null)	(null)	1111	YES
im_monet	lme	lme_licencias	texto_estado	12	varchar	255	0	0	10	1	(null)	(null)	0	0	0	58	(null)	(null)	(null)	1111	YES
im_monet	lme	lme_licencias	id_lector	12	varchar	50	0	0	10	0	(null)	(null)	0	0	0	59	(null)	(null)	(null)	1111	NO
im_monet	lme	lme_licencias	fecha_ultima_mod	93	timestamp	7	0	0	10	1	(null)	(null)	0	0	0	60	(null)	(null)	(null)	1111	YES
im_monet	lme	lme_licencias	subtipo_lcc	12	varchar	10	0	0	10	1	(null)	(null)	0	0	0	61	(null)	(null)	(null)	1111	YES
im_monet	lme	lme_licencias	fecha_recep_isapre	93	timestamp	7	0	0	10	1	(null)	(null)	0	0	0	62	(null)	(null)	(null)	1111	YES
im_monet	lme	lme_licencias	impresa	-6	tinyint	8	0	0	10	1	(null)	(null)	0	0	0	63	(null)	(null)	(null)	1111	YES
im_monet	lme	lme_licencias	envio_zona_c	12	varchar	50	0	0	10	1	(null)	(null)	0	0	0	64	(null)	(null)	(null)	1111	YES
im_monet	lme	lme_licencias	firma_zona_c	-6	tinyint	8	0	0	10	0	(null)	(null)	0	0	0	65	(null)	(null)	(null)	1111	NO
im_monet	lme	lme_licencias	fecha_retomada	93	timestamp	7	0	0	10	1	(null)	(null)	0	0	0	66	(null)	(null)	(null)	1111	YES
im_monet	lme	lme_licencias	observaciones	12	varchar	255	0	0	10	1	(null)	(null)	0	0	0	67	(null)	(null)	(null)	1111	YES
im_monet	lme	lme_licencias	detalle_observaciones	12	varchar	255	0	0	10	1	(null)	(null)	0	0	0	68	(null)	(null)	(null)	1111	YES
im_monet	lme	lme_licencias	fono_cel_trabajador	12	varchar	16	0	0	10	1	(null)	(null)	0	0	0	69	(null)	(null)	(null)	1111	YES
im_monet	lme	lme_licencias	email_trabajador	12	varchar	255	0	0	10	1	(null)	(null)	0	0	0	70	(null)	(null)	(null)	1111	YES
im_monet	lme	lme_licencias	emp_publico	-6	tinyint	8	0	0	10	1	(null)	(null)	0	0	0	71	(null)	(null)	(null)	1111	YES
